keys,ru,en,el,de,es,it
Language_name,Русский,English,Ελληνικά,Deutsch,Español,Italiano
Back,Назад,Back,Επιστροφή,Zurück,Volver,Indietro
Mods_controls_back,ESC - назад,ESC - back,ESC - επιστροφή,ESC - zurück,ESC - volver,ESC - indietro
Exit,Выход,Exit,Έξοδος,Beenden,Salir,Esci
Credits,Титры,Credits,Συντελεστές,Credits,Créditos,Crediti
Settings,Настройки,Settings,Επιλογές,Optionen,Opciones,Opzioni
Controls,Управление,Controls,Χειρισμός,Tastenbelegung,Controles,Comandi
New game,Новая игра,New game,Νέο παιχνίδι,Neues Spiel,Juego nuevo,Nuova partita
Load game,Загрузить игру,Load game,Άνοιγμα παιχνιδιού,Spiel laden,Cargar juego,Carica partita
License_Godot,Лицензия (Godot),License (Godot),Άδεια (Godot),Lizenz (Godot),Licencia (Godot),Licenza (Godot)
save_,сохр.,save,save,save,save,save
Customization,Внешний вид,Customization,Customization,Customization,Customization,Customization
W_up,W - вверх,W - up,W - πάνω,W - oben,W - arriba,W - su
Z_up,Z - вверх,Z - up,Z - πάνω,Z - oben,Z - arriba,Z - su
A_left,A - влево,A - left,A - αριστερά,A - links,A - izquierda,A - sinistra
Q_left,Q - влево,Q - left,Q - αριστερά,Q - links,Q - izquierda,Q - sinistra
S_down,S - вниз,S - down,S - κάτω,S - unten,S - abajo,S - giù
D_right,D - вправо,D - right,D - δεξί,D - rechts,D - derecha,D - destra
d_pad_movement,d-pad - перемещение,d-pad - movement,d-pad - μετακίνηση,d-pad - bewegung,d-pad - movimiento,d-pad - movimento
Q_previous_weapon,Q - предыдущее оружие,Q - previous weapon,Q - προηγούμενο όπλο,Q - zurück waffe,Q - anterior arma,Q - indietro arma
A_previous_weapon,A - предыдущее оружие,A - previous weapon,A - προηγούμενο όπλο,A - zurück waffe,A - anterior arma,A - indietro arma
E_next_weapon,E - следующее оружие,E - next weapon,E - επόμενο όπλο,E - weiter waffe,E - siguiente arma,E - avanti arma
Mods_controls_previous_tab,Q - предыдущая вкладка,Q - previous tab,Q - προηγούμενο καρτέλα,Q - zurück tab,Q - anterior ficha,Q - indietro scheda
Mods_controls_next_tab,E - следующая вкладка,E - next tab,E - επόμενο  καρτέλα,E - weiter tab,E - siguiente ficha,E - avanti scheda
R_activate,R - активировать,R - activate,R - ενεργοποιήσετε,R - aktivieren,R - activar,R - attivare
H_shoot,H - стрелять,H - shoot,H - πυροβόλα,H - schieße,H - disparar,H - sparare
J_jump,J - прыжок,J - jump,J - πήδα,J - springen,J - saltar,J - saltare
ESC_pause,ESC - пауза/пропустить,ESC - pause/skip,ESC - παύση/παράλειψη,ESC - pause/replay überspringen,ESC - pausa/saltar,ESC - pausa/salta
Pause,Пауза,Pause,Παύση,Pause,Pausa,Pausa
Stick_up,LS-вверх,LS-up,LS-πάνω,LS-oben,LS-arriba,LS-su
Stick_left,LS-влево,LS-left,LS-αριστερά,LS-links,LS-izquierda,LS-sinistra
Stick_down,LS-вниз,LS-down,LS-κάτω,LS-unten,LS-abajo,LS-giù
Stick_right,LS-вправо,LS-right,LS-δεξί,LS-rechts,LS-derecha,LS-destra
LB_previous_weapon,LB - предыдущее оружие,LB - previous weapon,LB - προηγούμενο όπλο,LB - zurück waffe,LB - anterior arma,LB - indietro arma
RB_next_weapon,RB - следующее оружие,RB - next weapon,RB - επόμενο όπλο,RB - weiter waffe,RB - siguiente arma,RB - avanti arma
Y_activate,Y/B - активировать,Y/B - activate,Y/B - ενεργοποιήσετε,Y/B - aktivieren,Y/B - activar,Y/B - attivare
X_shoot,X - стрелять,X - shoot,X - πυροβόλα,X - schieße,X - disparar,X - sparare
A_jump,A - прыжок,A - jump,A - πήδα,A - springen,A - saltar,A - saltare
